"Submission Date",Cinsiyet,"Yan haklarınız","Şirketiniz hangi lokasyon merkezli?","Şirketiniz hangi şehirde? (Eğer Türkiye ise)","Çalışma şekliniz nedir?","Şirketinizin çalışan sayısı nedir?","Hangi pozisyonda çalışıyorsunuz?","Seviyeniz nedir?",Deneyim,"Ağırlıklı olarak hangi teknolojileri / dilleri kullanıyorsunuz?","Kazancınız hangi para biriminde?","Maaş tipi","Ara zam / iyileştirme aldıysanız oranı hangi aralıkta?","Maaş / Aylık Türk Lirası cinsinden"
"Ağu 5, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Personel servisi
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)",Türkiye,"34 İstanbul",Hybrid,601-1.000,DevOps,Senior,"5-9 Yıl","C# / .NET Framework
Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Javascript / Typescript ve bağlı framework'ler
Kubernetes
Linux
NoSQL
SQL","Türk Lirası",Net,%21-%35,"70.001 TL - 85.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)",Türkiye,"34 İstanbul",Remote,51-150,"Fullstack Developer / Engineer",Junior,"0-1 Yıl","Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler
SQL","Türk Lirası",Net,%11-%20,"20.001 TL - 25.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Personel servisi",Türkiye,"34 İstanbul",Ofiste,1.000-5.000,Diğer,Junior,"0-1 Yıl","ChatGPT
Cloud araçları ( AWS, Azure, GCP vs)
Microsoft Office Araçları","Türk Lirası",Net,%21-%35,"11.402 TL ve altı"
"Ağu 5, 2023",Erkek,"Belirli günlerde izin(doğum günü, regl izni gibi)",Türkiye,"60 Tokat",Remote,1-50,"Fullstack Developer / Engineer",Mid,"3-5 Yıl","Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları","Türk Lirası",Net,%36-%50,"25.001 TL - 30.000 TL"
"Ağu 5, 2023",Kadın,"Yemek kartı",Türkiye,"16 Bursa",Hybrid,51-150,"Backend Developer / Engineer",Senior,"3-5 Yıl","C# / .NET Framework
Javascript / Typescript ve bağlı framework'ler
SQL","Türk Lirası",Net,%21-%35,"30.001 TL - 37.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Personel servisi",Türkiye,"34 İstanbul",Hybrid,"10.000 ve üzeri","Software Engineer",Mid,"3-5 Yıl","C# / .NET Framework
Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
SQL","Türk Lirası",Net,%21-%35,"30.001 TL - 37.000 TL"
"Ağu 5, 2023",Erkek,"Employee stock options","Yurt dışı",,Hybrid,151-300,"Cyber Security Engineer",Junior,"1-3 Yıl","ChatGPT
DevOps araçları
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Microsoft Office Araçları","İsviçre Frangı",Brüt,,"200.000 TL - 250.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Remote,601-1.000,"Fullstack Developer / Engineer",Junior,"1-3 Yıl","C# / .NET Framework
Javascript / Typescript ve bağlı framework'ler
SQL","Türk Lirası",Net,,"25.001 TL - 30.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı",Türkiye,"34 İstanbul",Ofiste,51-150,"Embedded Developer / Engineer",Junior,"1-3 Yıl","C# / .NET Framework
C, C++","Türk Lirası",Net,%36-%50,"25.001 TL - 30.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Şirket telefonu
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)",Türkiye,"34 İstanbul",Remote,601-1.000,"Android Developer",Mid,"3-5 Yıl","Java ve bağlı framework'ler
Kotlin","Türk Lirası",Net,%21-%35,"45.001 TL - 55.000 TL"
"Ağu 5, 2023",Erkek,"Eğitim ödemeleri
Tamamlayıcı sağlık sigortası
Employee stock options
Belirli günlerde izin(doğum günü, regl izni gibi)","Yurt dışı",,Remote,51-150,"Machine Learning Engineer",Mid,"5-9 Yıl","ChatGPT
Cloud araçları ( AWS, Azure, GCP vs)
Python
Salesforce",Dolar,Brüt,,"250.000 TL ve üzeri"
"Ağu 5, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı",Türkiye,"34 İstanbul",Remote,1.000-5.000,"Q/A - Test Automation Engineer",Junior,"0-1 Yıl","Cloud araçları ( AWS, Azure, GCP vs)
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Python","Türk Lirası",Net,"%51 ve üzeri","20.001 TL - 25.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Eğitim ödemeleri
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)
Hayat sigortası",Türkiye,"34 İstanbul",Remote,151-300,"Data Scientist",Mid,"5-9 Yıl","ChatGPT
Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Kubernetes
Linux
NoSQL
Python
SQL","Türk Lirası",Net,%21-%35,"37.001 TL - 45.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı","Yurt dışı","34 İstanbul",Hybrid,51-150,"Data Analyst",Junior,"1-3 Yıl","ChatGPT
Python
SQL","Türk Lirası",Net,%21-%35,"20.001 TL - 25.000 TL"
